iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,wb_population,wb_population_density,wb_urbanisation_percent_urban
AFG,Afghanistan,NA,NA,NA,NA,42647492,NA,27.265
AFE,Africa Eastern and Southern,1567.63583892828,1205973813871.44,NA,NA,769294618,NA,38.9491140663563
AFW,Africa Western and Central,1284.15444092323,670025655309.603,NA,NA,521764076,NA,50.2809344109865
ALB,Albania,10011.6279856667,27177735527.5667,NA,NA,2714617,NA,65.38
DZA,Algeria,5631.17999109851,263619794506.723,NA,NA,46814308,NA,75.748
ASM,American Samoa,NA,NA,NA,NA,46765,NA,87.284
AND,Andorra,49303.6733899464,4039844390.22543,NA,NA,81938,NA,87.747
AGO,Angola,2122.08368991872,80396942241.6233,NA,NA,37885849,NA,69.281
ATG,Antigua and Barbuda,23725.7903725506,2224814814.81481,NA,NA,93772,NA,24.338
ARB,Arab World,7521.15330929761,3704768275595.84,NA,NA,492579811,NA,59.8836721544724
ARG,Argentina,13858.2039802008,633266692533.689,NA,NA,45696159,NA,92.579
ARM,Armenia,8500.60522486719,25786585949.6346,NA,NA,3033500,NA,63.929
ABW,Aruba,NA,NA,NA,NA,107624,NA,44.474
AUS,Australia,64407.484256932,1752193307380.34,NA,NA,27204809,NA,86.75
AUT,Austria,56833.1960472053,521642466921.745,NA,NA,9178482,NA,59.819
AZE,Azerbaijan,7283.83562954872,74315882352.9412,NA,NA,10202850,NA,57.997
BHS,Bahamas,39455.4466548546,15832800000,NA,NA,401283,NA,83.764
BHR,Bahrain,30048.2177718844,47736702127.6596,NA,NA,1588670,NA,89.999
BGD,Bangladesh,2593.41607390407,450119424622.389,NA,NA,173562364,NA,41.23
BRB,Barbados,25365.7949424181,7165000000,NA,NA,282467,NA,31.548
BLR,Belarus,8316.64776291533,75961865471.9129,NA,NA,9133712,NA,81.125
BEL,Belgium,55954.6106261018,664564181486.953,NA,NA,11876844,NA,98.224
BLZ,Belize,8429.67959707387,3515783328.91079,NA,NA,417072,NA,46.838
BEN,Benin,1485.38018980894,21482643720.2743,NA,NA,14462724,NA,50.669
BMU,Bermuda,138934.958846463,8980200000,NA,NA,64636,NA,100
BTN,Bhutan,NA,NA,NA,NA,791524,NA,45
BOL,Bolivia,4001.21133990795,49668296743.8495,NA,NA,12413315,NA,71.545
BIH,Bosnia and Herzegovina,8957.37294188215,28343394203.4694,NA,NA,3164253,NA,50.708
BWA,Botswana,7695.2420641819,19400774882.4495,NA,NA,2521139,NA,73.49
BRA,Brazil,10280.3148624429,2179412080828.59,NA,NA,211998573,NA,88.016
VGB,British Virgin Islands,NA,NA,NA,NA,39471,NA,50.171
BRN,Brunei Darussalam,33417.8357740437,15463134387.2013,NA,NA,462721,NA,79.439
BGR,Bulgaria,17412.4115085691,112211952703.831,NA,NA,6444366,NA,77.037
BFA,Burkina Faso,987.321378101867,23250214909.5391,NA,NA,23548781,NA,33.166
BDI,Burundi,153.930217854023,2162378759.3467,NA,NA,14047786,NA,15.16
CPV,Cabo Verde,5272.85253011419,2767599017.44874,NA,NA,524877,NA,68.412
KHM,Cambodia,2627.8796974226,46352647034.7775,NA,NA,17638801,NA,26.035
CMR,Cameroon,1762.3683508844,51326764684.8595,NA,NA,29123744,NA,59.892
CAN,Canada,54282.6176051733,2241253230970.34,NA,NA,41288599,NA,81.98
CSS,Caribbean small states,20173.9564746676,91570798875.9048,NA,NA,4539060,NA,48.9393849292585
CYM,Cayman Islands,NA,NA,NA,NA,74457,NA,100
CAF,Central African Republic,516.170424537757,2751544520.37918,NA,NA,5330690,NA,44.13
