"name","iso_a3","area_km2","biome_count","pa_pct","forest_pct"
"Zimbabwe","ZWE",391057.021039387,8,NA,NA
"Zambia","ZMB",757286.698218899,9,NA,NA
"Yemen","YEM",455155.849792642,12,NA,NA
"Vietnam","VNM",329674.5733666,14,NA,NA
"Venezuela","VEN",916363.285632472,25,NA,NA
"Vatican","VAT",0.70803412068218,1,NA,NA
"Vanuatu","VUT",11317.0886449824,1,NA,NA
"Uzbekistan","UZB",448373.148071346,8,NA,NA
"Uruguay","URY",177959.9299811,4,NA,NA
"Micronesia","FSM",525.251692493464,2,NA,NA
"Marshall Is.","MHL",237.946075799665,1,NA,NA
"N. Mariana Is.","MNP",394.415404834979,1,NA,NA
"U.S. Virgin Is.","VIR",316.52373821965,3,NA,NA
"Guam","GUM",483.194273582474,1,NA,NA
"American Samoa","ASM",120.68079754216,1,NA,NA
"Puerto Rico","PRI",8963.46293965216,3,NA,NA
"United States of America","USA",9460566.77246044,92,NA,NA
"S. Geo. and the Is.","SGS",3676.63250236006,1,NA,NA
"Br. Indian Ocean Ter.","IOT",132.702349052673,1,NA,NA
"Saint Helena","SHN",186.251427726302,2,NA,NA
"Pitcairn Is.","PCN",38.762983279789,1,NA,NA
"Anguilla","AIA",83.469757807169,2,NA,NA
"Falkland Is.","FLK",11411.7937879546,1,NA,NA
"Cayman Is.","CYM",301.981606124244,2,NA,NA
"Bermuda","BMU",66.1311521749077,1,NA,NA
"British Virgin Is.","VGB",135.661472017199,2,NA,NA
"Turks and Caicos Is.","TCA",330.967578550697,2,NA,NA
"Montserrat","MSR",79.963139501606,3,NA,NA
"Jersey","JEY",126.600698447019,1,NA,NA
"Guernsey","GGY",48.1619215756132,1,NA,NA
"Isle of Man","IMN",558.608840952212,1,NA,NA
"United Kingdom","GBR",240147.733803169,4,NA,NA
"United Arab Emirates","ARE",71434.7356268405,6,NA,NA
"Ukraine","UKR",571431.815599071,5,NA,NA
"Uganda","UGA",243097.438324,8,NA,NA
"Turkmenistan","TKM",471682.073463362,8,NA,NA
"Turkey","TUR",781555.470777113,14,NA,NA
"Tunisia","TUN",157008.576133803,6,NA,NA
"Trinidad and Tobago","TTO",5113.75068082187,3,NA,NA
"Tonga","TON",432.625112931241,1,NA,NA
"Togo","TGO",57267.3949333293,3,NA,NA
"Timor-Leste","TLS",15054.3760851251,1,NA,NA
"Thailand","THA",516871.545423363,15,NA,NA
"Tanzania","TZA",947902.771181531,18,NA,NA
"Tajikistan","TJK",142612.882549112,8,NA,NA
"Taiwan","TWN",36086.3134480392,3,NA,NA
"Syria","SYR",186389.082541258,4,NA,NA
"Switzerland","CHE",41299.2481749183,3,NA,NA
"Sweden","SWE",443967.503900134,4,NA,NA
"eSwatini","SWZ",17030.0853222834,3,NA,NA
"Suriname","SUR",145900.343571519,7,NA,NA
"S. Sudan","SSD",625360.445397128,6,NA,NA
"Sudan","SDN",1867226.68709158,10,NA,NA
"Sri Lanka","LKA",66196.8445338634,4,NA,NA
"Spain","ESP",507303.236608419,10,NA,NA
"South Korea","KOR",97362.4271907465,3,NA,NA
"South Africa","ZAF",1224403.19974491,19,NA,NA
"Somalia","SOM",474661.282388522,8,NA,NA
"Somaliland","-99",168866.726812524,5,NA,NA
"Solomon Is.","SLB",25797.0221548759,2,NA,NA
"Slovakia","SVK",48447.5065970192,2,NA,NA
"Slovenia","SVN",20239.5135250542,5,NA,NA
"Singapore","SGP",486.043825268768,1,NA,NA
"Sierra Leone","SLE",72036.8265931586,4,NA,NA
"Seychelles","SYC",174.759691111725,1,NA,NA
"Serbia","SRB",77663.5360393995,4,NA,NA
"Senegal","SEN",197769.670812215,4,NA,NA
"Saudi Arabia","SAU",1930156.69709156,14,NA,NA
"São Tomé and Principe","STP",988.068139195344,1,NA,NA
"San Marino","SMR",68.4119821637373,1,NA,NA
"Samoa","WSM",2707.79999878681,1,NA,NA
"St. Vin. and Gren.","VCT",311.787988338069,4,NA,NA
"Saint Lucia","LCA",552.621143421295,3,NA,NA
"St. Kitts and Nevis","KNA",233.460944583147,3,NA,NA
"Rwanda","RWA",25442.410804109,3,NA,NA
"Russia","RUS",16913027.0709674,50,NA,NA
"Romania","ROU",236299.022669768,6,NA,NA
"Qatar","QAT",11099.2305698653,2,NA,NA
"Portugal","PRT",90961.9202458961,6,NA,NA
"Poland","POL",313244.120459278,4,NA,NA
"Philippines","PHL",290958.931098502,10,NA,NA
"Peru","PER",1299180.74608753,17,NA,NA
"Paraguay","PRY",401803.252371403,7,NA,NA
"Papua New Guinea","PNG",465327.91457697,16,NA,NA
"Panama","PAN",74409.6203039286,9,NA,NA
"Palau","PLW",341.314030460898,1,NA,NA
"Pakistan","PAK",875728.495388159,19,NA,NA
"Oman","OMN",312767.395813154,9,NA,NA
"Norway","-99",385109.743843254,6,NA,NA
"North Korea","PRK",122770.031109061,4,NA,NA
"Nigeria","NGA",913593.750886198,14,NA,NA
"Niger","NER",1187697.314999,6,NA,NA
"Nicaragua","NIC",129534.474028318,9,NA,NA
"New Zealand","NZL",267464.32130641,12,NA,NA
"Niue","NIU",197.417323929459,1,NA,NA
"Cook Is.","COK",60.7900808362303,1,NA,NA
"Netherlands","NLD",37216.262221588,5,NA,NA
"Aruba","ABW",155.614539505209,2,NA,NA
"Curaçao","CUW",430.63850900145,2,NA,NA
"Nepal","NPL",147523.424428489,12,NA,NA
"Nauru","NRU",27.8566792050514,0,NA,NA
"Namibia","NAM",826494.502387872,12,NA,NA
"Mozambique","MOZ",792438.646902725,13,NA,NA
"Morocco","MAR",583706.192460372,8,NA,NA
"W. Sahara","ESH",90997.4987020921,4,NA,NA
"Montenegro","MNE",13697.243754408,3,NA,NA
"Mongolia","MNG",1563902.29699621,17,NA,NA
"Moldova","MDA",33191.1527202911,3,NA,NA
"Monaco","MCO",12.4427770204688,1,NA,NA
"Mexico","MEX",1966673.32027895,45,NA,NA
"Mauritius","MUS",1883.42884018807,1,NA,NA
"Mauritania","MRT",1040668.63158046,8,NA,NA
