iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
AFG,Afghanistan,NA,NA,NA,NA,NA,NA,3060331299,2201.722907,66.035,42647492,643493.3497,66.27495377,27.265,Farsi,Muslims,99.86196899,0.008456565,3304,0,Never Colonized,754473,17,1.852781994,33.81875643,7,3.6,No
ALB,Albania,10011.62799,27177735528,NA,NA,NA,NA,360629669.2,21263.15457,79.602,2714617,28399.00336,95.58846012,65.38,Albanian,Muslims,74.50722504,7.652887344,219787,0,Never Colonized,181826,4,28.7919708,41.13487369,0,18.6,No
DZA,Algeria,5631.179991,2.6362E+11,0.47865,821.66519,38465.68728,1261816146,202314987.2,16824.4879,76.261,46814308,2327947.16,20.10969527,75.748,Arabic,Muslims,98.38234711,1.266207099,557664,1,France,522250,10,0.822088053,28.05599342,NA,4.6,Yes
ASM,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,72.852,46765,120.6807975,387.5098686,87.284,Samoan,NA,NA,NA,NA,NA,Unknown,993061,1,85.5,-14.30446632,0,16.7,No
AND,Andorra,49303.67339,4039844390,NA,NA,NA,NA,NA,71730.66868,84.041,81938,442.7994669,185.0453899,87.747,Catalan,NA,NA,NA,NA,0,Never Colonized,182752,1,34.04255319,42.54228639,0,26.9,No
AGO,Angola,2122.08369,80396942242,0.03229,18.93579,717.3984806,25960172.65,147169143.7,8046.817299,64.617,37885849,1252254.04,30.25412399,69.281,Portuguese,Christians,93.04470825,6.114808083,2045473,1,Portugal,438238,15,52.98172239,-12.27061393,75,10.7,No
ATG,Antigua and Barbuda,23725.79037,2224814815,NA,NA,NA,NA,NA,31601.75271,77.598,93772,433.7991223,216.1645683,24.338,English,NA,NA,NA,NA,1,Unknown,124608,3,18.30295455,17.27710404,10,19.9,Yes
ARG,Argentina,13858.20398,6.33267E+11,0.54947,1296.45435,59242.98411,3479610495,259022705.1,30082.30452,77.395,45696159,2788914.657,16.38492554,92.579,Spanish,Christians,88.45394135,9.232909203,4172533,1,Spain,18640875,19,10.40088574,-34.68398767,340,8.7,Yes
ARM,Armenia,8500.605225,25786585950,0.18115,1039.84774,3154.378119,46712400.45,205138351.4,21534.03054,77.46585366,3033500,29623.7399,102.4009801,63.929,Armenian,Christians,97.31269073,1.177880645,34051,0,Never Colonized,321201,2,11.64162685,40.28732777,1,24.7,No
ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,44967.34451,76.353,107624,155.6145395,691.6063264,44.474,Papiamento,Christians,81.42006683,5.873986721,6309,NA,Unknown,325882,2,2.333333333,12.52087806,2,18.9,No
