"","n_records_gbif","wb_gdp_total","wb_gdp_per_capita","wb_research_gdp_pct","wb_researchers_per_million_people","wb_population","area_total_km2","wb_population_density","wb_urbanisation_pct_urban","biome_diversity_count","terrestrial_protected_area_pct","forest_cover_pct","mean_latitude","endemic_tetrapods_total"
"n_records_gbif",1,0.7715,0.412,0.4991,0.4004,0.5529,0.5289,-0.2049,0.2546,0.5134,0.2347,0.1676,0.1464,0.3422
"wb_gdp_total",0.7715,1,0.4029,0.5809,0.4841,0.7907,0.6314,-0.0452,0.3802,0.5577,0.067,-0.1356,0.3592,0.2269
"wb_gdp_per_capita",0.412,0.4029,1,0.5919,0.7422,-0.2417,-0.276,0.1597,0.6797,0.0032,0.2093,0.024,0.4546,-0.2083
"wb_research_gdp_pct",0.4991,0.5809,0.5919,1,0.8947,0.0229,-0.0596,0.1194,0.3049,0.074,0.2127,0.1565,0.3907,-0.1693
"wb_researchers_per_million_people",0.4004,0.4841,0.7422,0.8947,1,-0.2387,-0.2695,0.147,0.3173,-0.0911,0.2403,0.1669,0.4959,-0.3187
"wb_population",0.5529,0.7907,-0.2417,0.0229,-0.2387,1,0.8656,-0.1915,-0.1265,0.5685,-0.0472,-0.1208,0.0502,0.378
"area_total_km2",0.5289,0.6314,-0.276,-0.0596,-0.2695,0.8656,1,-0.6516,-0.127,0.5781,-0.0052,-0.05,0.0283,0.37
"wb_population_density",-0.2049,-0.0452,0.1597,0.1194,0.147,-0.1915,-0.6516,1,0.0854,-0.2759,-0.0787,-0.143,0.0479,-0.1674
"wb_urbanisation_pct_urban",0.2546,0.3802,0.6797,0.3049,0.3173,-0.1265,-0.127,0.0854,1,0.0304,0.0808,-0.0186,0.2483,-0.1034
"biome_diversity_count",0.5134,0.5577,0.0032,0.074,-0.0911,0.5685,0.5781,-0.2759,0.0304,1,-0.0429,0.021,-0.0188,0.5667
"terrestrial_protected_area_pct",0.2347,0.067,0.2093,0.2127,0.2403,-0.0472,-0.0052,-0.0787,0.0808,-0.0429,1,0.2877,0.005,0.0277
"forest_cover_pct",0.1676,-0.1356,0.024,0.1565,0.1669,-0.1208,-0.05,-0.143,-0.0186,0.021,0.2877,1,-0.1773,0.2662
"mean_latitude",0.1464,0.3592,0.4546,0.3907,0.4959,0.0502,0.0283,0.0479,0.2483,-0.0188,0.005,-0.1773,1,-0.4986
"endemic_tetrapods_total",0.3422,0.2269,-0.2083,-0.1693,-0.3187,0.378,0.37,-0.1674,-0.1034,0.5667,0.0277,0.2662,-0.4986,1
