"Variable","Correlation_r","p_value","Significance"
"n_records_gbif",1,0,"***"
"wb_gdp_total",0.7715,0,"***"
"wb_population",0.5529,0,"***"
"area_total_km2",0.5289,0,"***"
"biome_diversity_count",0.5134,0,"***"
"wb_research_gdp_pct",0.4991,0,"***"
"wb_gdp_per_capita",0.412,0,"***"
"wb_researchers_per_million_people",0.4004,2e-06,"***"
"endemic_tetrapods_total",0.3422,0,"***"
"wb_urbanisation_pct_urban",0.2546,0.000167,"***"
"terrestrial_protected_area_pct",0.2347,0.000554,"***"
"forest_cover_pct",0.1676,0.014337,"*"
"mean_latitude",0.1464,0.033081,"*"
"wb_population_density",-0.2049,0.00272,"**"
