Category,Variable,Variable name in our database,Source,Link,Type,Readily available?,Definition,Expectation,Does it follow our expectation?
Money,GDP per capita,wb_gdp_per_capita,World Bank (indicator: NY.GDP.PCAP.CD),https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Continuous,YES,Average gross domestic product per person in current USD,Countries with larger GDP per capita have more records on GBIF,YES
Money,GDP (total),wb_gdp_total,World Bank (indicator: NY.GDP.MKTP.CD),https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,Continuous,YES,Total gross domestic product in current USD,Countries with larger total GDP have more records on GBIF,YES
Money,% GDP for research,wb_research_gdp_pct,World Bank / UNESCO (indicator: GB.XPD.RSDV.GD.ZS),https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS,Continuous,YES,Research and development expenditure as percentage of GDP,Countries investing more in R&D have more records on GBIF,YES
Money,Researchers per million people,wb_researchers_per_million_people,World Bank / UNESCO (indicator: SP.POP.SCIE.RD.P6),https://data.worldbank.org/indicator/SP.POP.SCIE.RD.P6,Continuous,YES,Number of full-time equivalent researchers per million inhabitants,Countries with more researchers produce more biodiversity records,YES
Money,Foreign aid for biodiversity,foreign_aid_oda,OECD DAC / World Bank,https://data-explorer.oecd.org/,Continuous,YES,Official development assistance specifically allocated to biodiversity projects in USD,Countries receiving more biodiversity aid have more records on GBIF,PARTIALLY
Money,Human Development Index (HDI),hdi_proxy_gdp / hdi_proxy_life,UNDP Human Development Reports,https://hdr.undp.org/,Continuous,YES,Composite index measuring standard of living and life expectancy,Countries with higher HDI have more records on GBIF,YES
H&C,Main language,main_language,Ethnologue / CIA World Factbook,https://www.ethnologue.com/,Categorical,YES,The most widely spoken language in the country,Language affects the number of records a country has on GBIF,YES
H&C,Is English the main language?,is_english_main,Ethnologue / CIA World Factbook,https://www.ethnologue.com/,Binary,YES,Whether English is the primary official or most spoken language,Countries with English as main language have more records on GBIF due to scientific communication,YES
H&C,Main religion,main_religion,Pew Research Center / CIA World Factbook,https://www.pewresearch.org/,Categorical,YES,The religion practiced by the majority of the population,Religion affects the number of records a country has on GBIF,NO
H&C,% Atheists/non-religious,atheists_non_religious_pct,Pew Research Center / WIN-Gallup,https://www.pewresearch.org/,Continuous,YES,Percentage of population identifying as atheist or non-religious,Countries with higher rates of non-religiosity have more records due to scientific culture correlation,PARTIALLY
H&C,Colonial past,ever_colonized / colonizer,Historical records / COLDAT,https://www.beckerbastian.net/data,Categorical,YES,Whether country was a colonizer colonized or neither and by/from which country,Former colonizing countries have more records; colonized countries have historical collection bias,YES
H&C,Open Knowledge Index,open_knowledge_score,Open Knowledge Foundation,http://index.okfn.org/,Continuous,PARTIALLY (discontinued 2017),Measure of government openness and data accessibility,Countries with higher open knowledge scores have more records on GBIF,YES
H&C,Type of government,is_main_english_spanish_arabic / government_type,CIA World Factbook / V-Dem Institute,https://www.cia.gov/the-world-factbook/,Categorical,YES,Political system classification (democracy authoritarian hybrid etc.),Democratic governments have more records on GBIF due to open science culture,YES
Biological,Biome diversity (ecoregions),biome_diversity_count,WWF Terrestrial Ecoregions / Resolve Ecoregions 2017,https://ecoregions.appspot.com/,Continuous,YES,Number of distinct ecoregions present within a country's borders,Countries with more diverse biomes have more records on GBIF,YES
Biological,Protected area coverage,terrestrial_protected_area_pct,World Database on Protected Areas (WDPA),https://www.protectedplanet.net/,Continuous,YES,Percentage of land area designated as protected (converted to %),Countries with more protected areas have more records due to monitoring efforts,YES
Biological,Forest cover (%),forest_cover_pct,FAO Global Forest Resources / World Bank,https://data.worldbank.org/indicator/AG.LND.FRST.ZS,Continuous,YES,Percentage of land area covered by forests,Countries with higher forest cover have more records especially for forest-dependent taxa,YES
Biological,Mean latitude,mean_latitude,Calculated from country centroid coordinates,Natural Earth Vector,Continuous,YES,Absolute value of the latitude of the country's geographic center,Countries closer to equator (lower latitude) have more records due to higher biodiversity,NO
Biological,Endemic species count,endemic_tetrapods_total,IUCN Red List / national assessments,https://api.iucnredlist.org/,Continuous,PARTIALLY,Number of species found exclusively in that country,Countries with more endemic species attract more research interest and have more records,PARTIALLY
Structure,Population,wb_population,World Bank (indicator: SP.POP.TOTL),https://data.worldbank.org/,Continuous,YES,Total population of the country,Countries with larger populations have more potential observers and more records on GBIF,YES
Structure,Area (surface),area_total_km2,World Bank / Natural Earth,https://data.worldbank.org/,Continuous,YES,Total land area of the country in square kilometers,Larger countries have more diverse habitats and more records on GBIF,YES
Structure,Population density,wb_population_density,World Bank (indicator: EN.POP.DNST),https://data.worldbank.org/,Continuous,YES,Number of people per square kilometer of land area,Higher population density correlates with observer availability up to a threshold,PARTIALLY
Structure,Urbanisation (% urban),wb_urbanisation_pct_urban,World Bank (indicator: SP.URB.TOTL.IN.ZS),https://data.worldbank.org/,Continuous,YES,Percentage of population living in urban areas,More urbanized countries have more records due to citizen science app usage,YES
Structure,Climatic zone,mean_latitude / climate_zone,Köppen-Geiger climate classification,https://www.arcgis.com/,Categorical,YES,Primary climate classification (tropical arid temperate continental polar),Temperate zone countries have historically contributed more records due to observation infrastructure,YES
