"name","iso_a3","area_total_km2","biome_diversity_count","pa_coverage_pct","forest_cover_pct"
"Zimbabwe","ZWE",391057.021039387,NA,NA,NA
"Zambia","ZMB",757286.698218899,NA,NA,NA
"Yemen","YEM",455155.849792642,NA,NA,NA
"Vietnam","VNM",329674.5733666,NA,NA,NA
"Venezuela","VEN",916363.285632472,NA,NA,NA
"Vatican","VAT",0.70803412068218,NA,NA,NA
"Vanuatu","VUT",11317.0886449824,NA,NA,NA
"Uzbekistan","UZB",448373.148071346,NA,NA,NA
"Uruguay","URY",177959.9299811,NA,NA,NA
"Micronesia","FSM",525.251692493464,NA,NA,NA
"Marshall Is.","MHL",237.946075799665,NA,NA,NA
"N. Mariana Is.","MNP",394.415404834979,NA,NA,NA
"U.S. Virgin Is.","VIR",316.52373821965,NA,NA,NA
"Guam","GUM",483.194273582474,NA,NA,NA
"American Samoa","ASM",120.68079754216,NA,NA,NA
"Puerto Rico","PRI",8963.46293965216,NA,NA,NA
"United States of America","USA",9460566.77246044,NA,NA,NA
"S. Geo. and the Is.","SGS",3676.63250236006,NA,NA,NA
"Br. Indian Ocean Ter.","IOT",132.702349052673,NA,NA,NA
"Saint Helena","SHN",186.251427726302,NA,NA,NA
"Pitcairn Is.","PCN",38.762983279789,NA,NA,NA
"Anguilla","AIA",83.469757807169,NA,NA,NA
"Falkland Is.","FLK",11411.7937879546,NA,NA,NA
"Cayman Is.","CYM",301.981606124244,NA,NA,NA
"Bermuda","BMU",66.1311521749077,NA,NA,NA
"British Virgin Is.","VGB",135.661472017199,NA,NA,NA
"Turks and Caicos Is.","TCA",330.967578550697,NA,NA,NA
"Montserrat","MSR",79.963139501606,NA,NA,NA
"Jersey","JEY",126.600698447019,NA,NA,NA
"Guernsey","GGY",48.1619215756132,NA,NA,NA
"Isle of Man","IMN",558.608840952212,NA,NA,NA
"United Kingdom","GBR",240147.733803169,NA,NA,NA
"United Arab Emirates","ARE",71434.7356268405,NA,NA,NA
"Ukraine","UKR",571431.815599071,NA,NA,NA
"Uganda","UGA",243097.438324,NA,NA,NA
"Turkmenistan","TKM",471682.073463362,NA,NA,NA
"Turkey","TUR",781555.470777113,NA,NA,NA
"Tunisia","TUN",157008.576133803,NA,NA,NA
"Trinidad and Tobago","TTO",5113.75068082187,NA,NA,NA
"Tonga","TON",432.625112931241,NA,NA,NA
"Togo","TGO",57267.3949333293,NA,NA,NA
"Timor-Leste","TLS",15054.3760851251,NA,NA,NA
"Thailand","THA",516871.545423363,NA,NA,NA
"Tanzania","TZA",947902.771181531,NA,NA,NA
"Tajikistan","TJK",142612.882549112,NA,NA,NA
"Taiwan","TWN",36086.3134480392,NA,NA,NA
"Syria","SYR",186389.082541258,NA,NA,NA
"Switzerland","CHE",41299.2481749183,NA,NA,NA
"Sweden","SWE",443967.503900134,NA,NA,NA
"eSwatini","SWZ",17030.0853222834,NA,NA,NA
"Suriname","SUR",145900.343571519,NA,NA,NA
"S. Sudan","SSD",625360.445397128,NA,NA,NA
"Sudan","SDN",1867226.68709158,NA,NA,NA
"Sri Lanka","LKA",66196.8445338634,NA,NA,NA
"Spain","ESP",507303.236608419,NA,NA,NA
"South Korea","KOR",97362.4271907465,NA,NA,NA
"South Africa","ZAF",1224403.19974491,NA,NA,NA
"Somalia","SOM",474661.282388522,NA,NA,NA
"Somaliland","-99",168866.726812524,NA,NA,NA
"Solomon Is.","SLB",25797.0221548759,NA,NA,NA
"Slovakia","SVK",48447.5065970192,NA,NA,NA
"Slovenia","SVN",20239.5135250542,NA,NA,NA
"Singapore","SGP",486.043825268768,NA,NA,NA
"Sierra Leone","SLE",72036.8265931586,NA,NA,NA
"Seychelles","SYC",174.759691111725,NA,NA,NA
"Serbia","SRB",77663.5360393995,NA,NA,NA
"Senegal","SEN",197769.670812215,NA,NA,NA
"Saudi Arabia","SAU",1930156.69709156,NA,NA,NA
"São Tomé and Principe","STP",988.068139195344,NA,NA,NA
"San Marino","SMR",68.4119821637373,NA,NA,NA
"Samoa","WSM",2707.79999878681,NA,NA,NA
"St. Vin. and Gren.","VCT",311.787988338069,NA,NA,NA
"Saint Lucia","LCA",552.621143421295,NA,NA,NA
"St. Kitts and Nevis","KNA",233.460944583147,NA,NA,NA
"Rwanda","RWA",25442.410804109,NA,NA,NA
"Russia","RUS",16913027.0709674,NA,NA,NA
"Romania","ROU",236299.022669768,NA,NA,NA
"Qatar","QAT",11099.2305698653,NA,NA,NA
"Portugal","PRT",90961.9202458961,NA,NA,NA
"Poland","POL",313244.120459278,NA,NA,NA
"Philippines","PHL",290958.931098502,NA,NA,NA
"Peru","PER",1299180.74608753,NA,NA,NA
"Paraguay","PRY",401803.252371403,NA,NA,NA
"Papua New Guinea","PNG",465327.91457697,NA,NA,NA
"Panama","PAN",74409.6203039286,NA,NA,NA
"Palau","PLW",341.314030460898,NA,NA,NA
"Pakistan","PAK",875728.495388159,NA,NA,NA
"Oman","OMN",312767.395813154,NA,NA,NA
"Norway","-99",385109.743843254,NA,NA,NA
"North Korea","PRK",122770.031109061,NA,NA,NA
"Nigeria","NGA",913593.750886198,NA,NA,NA
"Niger","NER",1187697.314999,NA,NA,NA
"Nicaragua","NIC",129534.474028318,NA,NA,NA
"New Zealand","NZL",267464.32130641,NA,NA,NA
"Niue","NIU",197.417323929459,NA,NA,NA
"Cook Is.","COK",60.7900808362303,NA,NA,NA
"Netherlands","NLD",37216.262221588,NA,NA,NA
"Aruba","ABW",155.614539505209,NA,NA,NA
"Curaçao","CUW",430.63850900145,NA,NA,NA
"Nepal","NPL",147523.424428489,NA,NA,NA
"Nauru","NRU",27.8566792050514,NA,NA,NA
"Namibia","NAM",826494.502387872,NA,NA,NA
"Mozambique","MOZ",792438.646902725,NA,NA,NA
"Morocco","MAR",583706.192460372,NA,NA,NA
"W. Sahara","ESH",90997.4987020921,NA,NA,NA
"Montenegro","MNE",13697.243754408,NA,NA,NA
"Mongolia","MNG",1563902.29699621,NA,NA,NA
"Moldova","MDA",33191.1527202911,NA,NA,NA
"Monaco","MCO",12.4427770204688,NA,NA,NA
"Mexico","MEX",1966673.32027895,NA,NA,NA
"Mauritius","MUS",1883.42884018807,NA,NA,NA
"Mauritania","MRT",1040668.63158046,NA,NA,NA
"Malta","MLT",274.390600549802,NA,NA,NA
"Mali","MLI",1261023.40349276,NA,NA,NA
"Maldives","MDV",66.5607824932679,NA,NA,NA
"Malaysia","MYS",328379.480428225,NA,NA,NA
"Malawi","MWI",120062.219016993,NA,NA,NA
"Madagascar","MDG",595923.203375134,NA,NA,NA
"North Macedonia","MKD",25420.8176848104,NA,NA,NA
"Luxembourg","LUX",2617.75502915702,NA,NA,NA
"Lithuania","LTU",64663.1052309198,NA,NA,NA
"Liechtenstein","LIE",138.275214506868,NA,NA,NA
"Libya","LBY",1630146.58162673,NA,NA,NA
"Liberia","LBR",95879.3747436547,NA,NA,NA
"Lesotho","LSO",30094.793699951,NA,NA,NA
"Lebanon","LBN",10034.4652600742,NA,NA,NA
"Latvia","LVA",64405.3548647813,NA,NA,NA
"Laos","LAO",229459.540530332,NA,NA,NA
"Kyrgyzstan","KGZ",199094.948957491,NA,NA,NA
"Kuwait","KWT",17368.6011863324,NA,NA,NA
"Kosovo","-99",10936.0333534956,NA,NA,NA
"Kiribati","KIR",939.730988685511,NA,NA,NA
"Kenya","KEN",596152.324075353,NA,NA,NA
"Kazakhstan","KAZ",2718847.35683119,NA,NA,NA
"Jordan","JOR",89059.0009162866,NA,NA,NA
"Japan","JPN",370923.239652953,NA,NA,NA
"Jamaica","JAM",10956.745471085,NA,NA,NA
"Italy","ITA",300957.352027645,NA,NA,NA
"Israel","ISR",22101.3482691828,NA,NA,NA
"Palestine","PSE",6347.4923594308,NA,NA,NA
"Ireland","IRL",68853.6151072866,NA,NA,NA
"Iraq","IRQ",438435.296883341,NA,NA,NA
"Iran","IRN",1626451.93994389,NA,NA,NA
"Indonesia","IDN",1876354.9601209,NA,NA,NA
"India","IND",3162896.29955248,NA,NA,NA
"Iceland","ISL",101387.007543915,NA,NA,NA
"Hungary","HUN",93167.1230077541,NA,NA,NA
"Honduras","HND",113769.909134136,NA,NA,NA
"Haiti","HTI",26865.0603818259,NA,NA,NA
"Guyana","GUY",212422.536378843,NA,NA,NA
"Guinea-Bissau","GNB",32127.5411478255,NA,NA,NA
"Guinea","GIN",245474.11400427,NA,NA,NA
"Guatemala","GTM",108724.463345349,NA,NA,NA
"Grenada","GRD",286.714055163376,NA,NA,NA
"Greece","GRC",130457.980265793,NA,NA,NA
"Ghana","GHA",240102.209662357,NA,NA,NA
"Germany","DEU",356962.181393857,NA,NA,NA
"Georgia","GEO",69460.5759120515,NA,NA,NA
"Gambia","GMB",10336.6848059325,NA,NA,NA
"Gabon","GAB",261246.365202686,NA,NA,NA
"France","-99",636466.719283301,NA,NA,NA
"St. Pierre and Miquelon","SPM",205.692074498639,NA,NA,NA
"Wallis and Futuna Is.","WLF",131.973367346214,NA,NA,NA
"St-Martin","MAF",49.1181159909229,NA,NA,NA
"St-Barthélemy","BLM",24.5782933791227,NA,NA,NA
"Fr. Polynesia","PYF",2620.58750099638,NA,NA,NA
"New Caledonia","NCL",18708.0659575107,NA,NA,NA
"Fr. S. Antarctic Lands","ATF",6987.2102504425,NA,NA,NA
"Åland","ALA",761.572961778099,NA,NA,NA
"Finland","FIN",331232.397144355,NA,NA,NA
"Fiji","FJI",18447.7450307305,NA,NA,NA
"Ethiopia","ETH",1134318.061809,NA,NA,NA
"Estonia","EST",45554.3404632875,NA,NA,NA
"Eritrea","ERI",123954.936080523,NA,NA,NA
"Eq. Guinea","GNQ",26703.3579841963,NA,NA,NA
"El Salvador","SLV",20437.3703693427,NA,NA,NA
"Egypt","EGY",1005831.19137677,NA,NA,NA
"Ecuador","ECU",256239.116841957,NA,NA,NA
"Dominican Rep.","DOM",48698.1389035675,NA,NA,NA
"Dominica","DMA",699.382102070206,NA,NA,NA
"Djibouti","DJI",21752.6330779312,NA,NA,NA
"Greenland","GRL",2159634.7862199,NA,NA,NA
"Faeroe Is.","FRO",1037.56561890264,NA,NA,NA
"Denmark","DNK",42512.2429664655,NA,NA,NA
"Czechia","CZE",78657.8671774883,NA,NA,NA
"N. Cyprus","-99",3478.73351471769,NA,NA,NA
