iso3c,country_name,country,gdp_per_capita,gdp_total,percent_gdp_for_research,researchers_per_million_people,population,population_density,urbanisation_percent_urban
AFG,Afghanistan,Afghanistan,NA,NA,NA,NA,42647492,NA,27.265
ALB,Albania,Albania,10011.6279856667,27177735527.5667,NA,NA,2714617,NA,65.38
DZA,Algeria,Algeria,5631.17999109851,263619794506.723,NA,NA,46814308,NA,75.748
ASM,American Samoa,American Samoa,NA,NA,NA,NA,46765,NA,87.284
AND,Andorra,Andorra,49303.6733899464,4039844390.22543,NA,NA,81938,NA,87.747
AGO,Angola,Angola,2122.08368991872,80396942241.6233,NA,NA,37885849,NA,69.281
AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA
ATA,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua & Barbuda,Antigua and Barbuda,23725.7903725506,2224814814.81481,NA,NA,93772,NA,24.338
ARG,Argentina,Argentina,13858.2039802008,633266692533.689,NA,NA,45696159,NA,92.579
ARM,Armenia,Armenia,8500.60522486719,25786585949.6346,NA,NA,3033500,NA,63.929
ABW,Aruba,Aruba,NA,NA,NA,NA,107624,NA,44.474
AUS,Australia,Australia,64407.484256932,1752193307380.34,NA,NA,27204809,NA,86.75
AUT,Austria,Austria,56833.1960472053,521642466921.745,NA,NA,9178482,NA,59.819
AZE,Azerbaijan,Azerbaijan,7283.83562954872,74315882352.9412,NA,NA,10202850,NA,57.997
BHS,Bahamas,Bahamas,39455.4466548546,15832800000,NA,NA,401283,NA,83.764
BHR,Bahrain,Bahrain,30048.2177718844,47736702127.6596,NA,NA,1588670,NA,89.999
BGD,Bangladesh,Bangladesh,2593.41607390407,450119424622.389,NA,NA,173562364,NA,41.23
BRB,Barbados,Barbados,25365.7949424181,7165000000,NA,NA,282467,NA,31.548
BLR,Belarus,Belarus,8316.64776291533,75961865471.9129,NA,NA,9133712,NA,81.125
BEL,Belgium,Belgium,55954.6106261018,664564181486.953,NA,NA,11876844,NA,98.224
BLZ,Belize,Belize,8429.67959707387,3515783328.91079,NA,NA,417072,NA,46.838
BEN,Benin,Benin,1485.38018980894,21482643720.2743,NA,NA,14462724,NA,50.669
BMU,Bermuda,Bermuda,138934.958846463,8980200000,NA,NA,64636,NA,100
BTN,Bhutan,Bhutan,NA,NA,NA,NA,791524,NA,45
BOL,Bolivia,Bolivia,4001.21133990795,49668296743.8495,NA,NA,12413315,NA,71.545
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,8957.37294188215,28343394203.4694,NA,NA,3164253,NA,50.708
BWA,Botswana,Botswana,7695.2420641819,19400774882.4495,NA,NA,2521139,NA,73.49
BVT,Bouvet Island,NA,NA,NA,NA,NA,NA,NA,NA
BRA,Brazil,Brazil,10280.3148624429,2179412080828.59,NA,NA,211998573,NA,88.016
IOT,British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,British Virgin Islands,NA,NA,NA,NA,39471,NA,50.171
BRN,Brunei,Brunei Darussalam,33417.8357740437,15463134387.2013,NA,NA,462721,NA,79.439
BGR,Bulgaria,Bulgaria,17412.4115085691,112211952703.831,NA,NA,6444366,NA,77.037
BFA,Burkina Faso,Burkina Faso,987.321378101867,23250214909.5391,NA,NA,23548781,NA,33.166
BDI,Burundi,Burundi,153.930217854023,2162378759.3467,NA,NA,14047786,NA,15.16
KHM,Cambodia,Cambodia,2627.8796974226,46352647034.7775,NA,NA,17638801,NA,26.035
CMR,Cameroon,Cameroon,1762.3683508844,51326764684.8595,NA,NA,29123744,NA,59.892
CAN,Canada,Canada,54282.6176051733,2241253230970.34,NA,NA,41288599,NA,81.98
CPV,Cape Verde,Cabo Verde,5272.85253011419,2767599017.44874,NA,NA,524877,NA,68.412
BES,Caribbean Netherlands,NA,NA,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,Cayman Islands,NA,NA,NA,NA,74457,NA,100
CAF,Central African Republic,Central African Republic,516.170424537757,2751544520.37918,NA,NA,5330690,NA,44.13
TCD,Chad,Chad,1016.08880662712,20625711664.6472,NA,NA,20299123,NA,24.691
CHL,Chile,Chile,16709.8893972307,330267137371.592,NA,NA,19764771,NA,88.116
CHN,China,China,13303.1481543868,18743803170827.2,NA,NA,1408975000,NA,65.544
CXR,Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA
CCK,Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA
COL,Colombia,Colombia,7913.98801464547,418542042920.189,NA,NA,52886363,NA,82.652
COM,Comoros,Comoros,1784.11546860293,1546164420.32442,NA,NA,866628,NA,30.418
COG,Congo - Brazzaville,Republic of Congo,2482.24894743495,15719985776.3966,NA,NA,6332961,NA,69.638
COD,Congo - Kinshasa,Democratic Republic of the Congo,647.435704836002,70749355652.1207,NA,NA,109276265,NA,48.055
COK,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,Costa Rica,18587.1532203614,95350423176.664,NA,NA,5129910,NA,83.167
HRV,Croatia,Croatia,23931.4528382746,92526176108.621,NA,NA,3866300,NA,58.945
CUB,Cuba,Cuba,NA,NA,NA,NA,10979783,NA,77.657
CUW,Curaçao,Curacao,NA,NA,NA,NA,155900,NA,89.033
CYP,Cyprus,Cyprus,38654.16796875,36333022329.4981,NA,NA,1358282,NA,67.082
CZE,Czechia,Czechia,31706.6234229743,345036675975.047,NA,NA,10882164,NA,74.738
CIV,Côte d’Ivoire,Cote d'Ivoire,2709.89511641252,86538413923.3943,NA,NA,31934230,NA,53.644
DNK,Denmark,Denmark,71851.7562131368,429457372071.869,NA,NA,5976992,NA,88.626
DJI,Djibouti,Djibouti,3496.47111876763,4086402718.86834,NA,NA,1168722,NA,78.732
DMA,Dominica,Dominica,10405.2787777582,688881481.481481,NA,NA,66205,NA,72.312
DOM,Dominican Republic,Dominican Republic,10875.6618443092,124282245638.568,NA,NA,11427557,NA,85.011
ECU,Ecuador,Ecuador,6874.705739766,124676074700,NA,NA,18135478,NA,65.029
EGY,Egypt,Egypt,3338.47371395895,389059911003.566,NA,NA,116538258,NA,43.258
SLV,El Salvador,El Salvador,5579.65969165029,35364960000,NA,NA,6338193,NA,75.996
GNQ,Equatorial Guinea,Equatorial Guinea,6745.40013244916,12765777677.0622,NA,NA,1892516,NA,74.874
ERI,Eritrea,Eritrea,NA,NA,NA,NA,3535603,NA,43.911
EST,Estonia,Estonia,31170.0915091887,42764929169.3258,NA,NA,1371986,NA,70.019
SWZ,Eswatini,Eswatini,3936.10969242371,4891883720.15742,NA,NA,1242822,NA,25.013
ETH,Ethiopia,Ethiopia,NA,NA,NA,NA,132059767,NA,23.661
FLK,Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA
FRO,Faroe Islands,Faroe Islands,NA,NA,NA,NA,54719,NA,43.206
FJI,Fiji,Fiji,6288.39867264416,5840564072.77313,NA,NA,928784,NA,59.192
FIN,Finland,Finland,53188.6186245158,299835625550.781,NA,NA,5637214,NA,85.872
FRA,France,France,46150.4876861593,3162079073495.78,NA,NA,68516699,NA,82.044
GUF,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA
PYF,French Polynesia,French Polynesia,NA,NA,NA,NA,281807,NA,62.42
ATF,French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,Gabon,8218.76307061848,20867044935.6729,NA,NA,2538952,NA,91.307
GMB,Gambia,Gambia,908.525674150965,2507519958.34857,NA,NA,2759988,NA,65.08
GEO,Georgia,Georgia,9193.66366361489,33776141250.5716,NA,NA,3673850,NA,61.162
DEU,Germany,Germany,55800.2194549412,4659929336890.62,NA,NA,83510950,NA,77.895
GHA,Ghana,Ghana,2405.79466378083,82825288888.9734,NA,NA,34427414,NA,59.854
GIB,Gibraltar,Gibraltar,NA,NA,NA,NA,39329,NA,100
GRC,Greece,Greece,24752.1068401681,257144811301.673,NA,NA,10388805,NA,80.984
GRL,Greenland,Greenland,NA,NA,NA,NA,56836,NA,88.149
GRD,Grenada,Grenada,11871.6117006031,1391435992.59259,NA,NA,117207,NA,37.267
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA
GUM,Guam,Guam,NA,NA,NA,NA,167777,NA,95.24
GTM,Guatemala,Guatemala,6150.02597767851,113199586004.477,NA,NA,18406359,NA,53.542
GGY,Guernsey,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,Guinea,1717.02318120779,25334307878.737,NA,NA,14754785,NA,38.517
GNB,Guinea-Bissau,Guinea-Bissau,962.983627901892,2119865935.24909,NA,NA,2201352,NA,45.893
GUY,Guyana,Guyana,29883.6341152001,24835899825.8993,NA,NA,831087,NA,27.316
HTI,Haiti,Haiti,2142.62330526788,25224154990.7946,NA,NA,11772557,NA,60.472
HMD,Heard & McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA
HND,Honduras,Honduras,3426.43483328923,37093565854.0437,NA,NA,10825703,NA,60.818
HKG,Hong Kong SAR China,"Hong Kong SAR, China",54107.034521746,407106738445.069,NA,NA,7524100,NA,100
HUN,Hungary,Hungary,23310.7512733957,222904723252.11,NA,NA,9562314,NA,73.179
ISL,Iceland,Iceland,82703.8579937471,33462807982.85,NA,NA,404610,NA,94.094
IND,India,India,2696.66389984463,3912686168582.21,NA,NA,1450935791,NA,36.867
IDN,Indonesia,Indonesia,4925.43048751861,1396300098190.97,NA,NA,283487931,NA,59.204
IRN,Iran,Iran (Islamic Republic of),4771.40029026226,436906331671.859,NA,NA,91567738,NA,77.698
IRQ,Iraq,Iraq,6073.61032342708,279641257615.385,NA,NA,46042015,NA,71.853
IRL,Ireland,Ireland,107316.337306921,577389475009.922,NA,NA,5380257,NA,64.76
IMN,Isle of Man,Isle of Man,NA,NA,NA,NA,84160,NA,53.708
ISR,Israel,Israel,54176.6844383302,540379921261.681,NA,NA,9974400,NA,92.946
ITA,Italy,Italy,40226.0472416173,2372774547793.12,NA,NA,58986023,NA,72.292
