iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language_code,is_english_main,ever_colonized,n_records_gbif,biome_diversity_count,pa_coverage_pct,forest_cover_pct,mean_latitude,colonizer,wb_total_research_spending_usd,wb_total_researchers_count,open_knowledge_score
AFG,Afghanistan,NA,NA,NA,NA,3060331298.82813,2201.72290691677,66.035,42647492,643493.3496858,66.27495376731335,27.265,NA,NA,0,666300,17,NA,1.85278199408184,33.8187564261474,Never Colonized,NA,NA,NA
ALB,Albania,10011.6279856667,27177735527.5667,NA,NA,360629669.189453,21263.1545689521,79.602,2714617,28399.0033587337,95.58846011985696,65.38,NA,NA,0,26459,4,NA,28.7919708029197,41.1348736888552,Never Colonized,NA,NA,NA
DZA,Algeria,5631.17999109851,263619794506.723,0.47865,821.66519,202314987.182617,16824.4879034626,76.261,46814308,2327947.16039891,20.109695269878053,75.748,NA,NA,1,150717,10,NA,0.822088053271978,28.0559934221189,France,1261816146.40643,38465.6872775385,NA
ASM,American Samoa,NA,NA,NA,NA,NA,NA,72.852,46765,120.68079754216,387.5098686156974,87.284,NA,NA,NA,50562,1,NA,85.5,-14.3044663174587,Unknown,NA,NA,NA
AND,Andorra,49303.6733899464,4039844390.22543,NA,NA,NA,71730.668682165,84.041,81938,442.799466932664,185.0453898862986,87.747,NA,NA,0,10299,1,NA,34.0425531914894,42.5422863943124,Never Colonized,NA,NA,NA
AGO,Angola,2122.08368991872,80396942241.6233,0.03229,18.93579,147169143.676758,8046.81729875579,64.617,37885849,1252254.04024834,30.254123989479556,69.281,NA,NA,1,188054,15,NA,52.9817223871019,-12.2706139265484,Portugal,25960172.6498202,717.39848063571,NA
ATG,Antigua and Barbuda,23725.7903725506,2224814814.81481,NA,NA,NA,31601.7527146877,77.598,93772,433.799122323463,216.16456828623726,24.338,NA,NA,1,14483,3,NA,18.3029545454545,17.2771040353237,Unknown,NA,NA,NA
ARG,Argentina,13858.2039802008,633266692533.689,0.54947,1296.45435,259022705.078125,30082.3045247325,77.395,45696159,2788914.65709639,16.384925542173253,92.579,NA,NA,1,908862,19,NA,10.4008857415345,-34.6839876712258,Spain,3479610495.46486,59242.9841138417,NA
ARM,Armenia,8500.60522486719,25786585949.6346,0.18115,1039.84774,205138351.44043,21534.0305361169,77.4658536585366,3033500,29623.7398999346,102.40098010064884,63.929,NA,NA,0,66378,2,NA,11.641626848728,40.2873277734289,Never Colonized,46712400.4477631,3154.37811929,NA
ABW,Aruba,NA,NA,NA,NA,NA,44967.3445127082,76.353,107624,155.614539505209,691.6063263895558,44.474,NA,NA,NA,4396,2,NA,2.33333333333333,12.520878060142,Unknown,NA,NA,NA
AUS,Australia,64407.484256932,1752193307380.34,1.85509,4568.56658,NA,70513.4748706981,83.0512195121951,27204809,7723252.76433334,3.5224548296067946,86.75,NA,NA,1,2167383,38,NA,17.4213145571644,-25.7641815523079,Britain,32504762825.882,124286.981212683,NA
AUT,Austria,56833.1960472053,521642466921.745,3.20048,6658.54873,NA,70478.7873635411,81.5414634146342,9178482,84098.680892762,109.13942885387101,59.819,NA,NA,0,588537,4,NA,47.1720794958798,47.5922934429587,Never Colonized,16695062825.3371,61115.3696644279,NA
AZE,Azerbaijan,7283.83562954872,74315882352.9412,0.18178,1663.3395,123224662.780762,23651.5994551766,74.429,10202850,86595.7674876196,117.82157830587596,57.997,NA,NA,0,62818,4,NA,13.8329909255898,40.2866618409577,Never Colonized,135091410.941177,16970.803417575,NA
BHS,Bahamas,39455.4466548546,15832800000,NA,NA,NA,39090.1665080164,74.552,401283,12697.1257646755,31.604239214232557,83.764,NA,NA,1,121665,2,NA,50.9350649350649,24.280018782811,Britain,NA,NA,NA
BHR,Bahrain,30048.2177718844,47736702127.6596,0.10116,384.09339,NA,64171.0857359052,81.284,1588670,542.697832344822,2927.356450155458,89.999,NA,NA,1,3894,2,NA,0.911392405063291,26.0419637770137,Britain,48290447.8723405,610.1976458913,NA
