Country,BoundaryID,boundaryISO
Aruba,ABW-ADM0-13396579,ABW
Afghanistan,AFG-ADM0-77858471,AFG
Angola,AGO-ADM0-71192764,AGO
Anguilla,AIA-ADM0-96724787,AIA
Albania,ALB-ADM0-44221866,ALB
Andorra,AND-ADM0-62012451,AND
United Arab Emirates,ARE-ADM0-71949806,ARE
Argentina,ARG-ADM0-23045417,ARG
Armenia,ARM-ADM0-83012948,ARM
American Samoa,ASM-ADM0-72969383,ASM
Antartica,ATA-ADM0-39004313,ATA
Antigua and Barbuda,ATG-ADM0-82762519,ATG
Australia,AUS-ADM0-85198719,AUS
Austria,AUT-ADM0-79767133,AUT
Azerbaijan,AZE-ADM0-83331535,AZE
Burundi,BDI-ADM0-31105016,BDI
Belgium,BEL-ADM0-47090850,BEL
Benin,BEN-ADM0-84139743,BEN
Bonaire Sint Eustatius and Saba,BES-ADM0-37138078,BES
Burkina Faso,BFA-ADM0-72675738,BFA
Bangladesh,BGD-ADM0-71232402,BGD
Bulgaria,BGR-ADM0-55223397,BGR
Bahrain,BHR-ADM0-88433195,BHR
Bahamas,BHS-ADM0-55510642,BHS
Bosnia and Herzegovina,BIH-ADM0-45210373,BIH
Saint Barthélemy,BLM-ADM0-10240690,BLM
Belarus,BLR-ADM0-10690812,BLR
Belize,BLZ-ADM0-71637956,BLZ
Bermuda,BMU-ADM0-94457821,BMU
Bolivia (Plurinational State of),BOL-ADM0-4181665,BOL
Brazil,BRA-ADM0-88855331,BRA
Barbados,BRB-ADM0-86514546,BRB
Brunei Darussalam,BRN-ADM0-51999400,BRN
Bhutan,BTN-ADM0-95260433,BTN
Botswana,BWA-ADM0-68990947,BWA
Central African Republic,CAF-ADM0-9860799,CAF
Canada,CAN-ADM0-50000805,CAN
Switzerland,CHE-ADM0-87024499,CHE
Chile,CHL-ADM0-41092099,CHL
China,CHN-ADM0-351020,CHN
Côte d'Ivoire,CIV-ADM0-2848817,CIV
Cameroon,CMR-ADM0-59405334,CMR
Democratic Republic of the Congo,COD-ADM0-95928705,COD
Congo,COG-ADM0-69207274,COG
Cook Islands,COK-ADM0-34037180,COK
Colombia,COL-ADM0-68469763,COL
Comoros,COM-ADM0-59328049,COM
Cabo Verde,CPV-ADM0-57358268,CPV
